Amazon SageMaker とは何ですか?,Amazon SageMaker は、完全に管理されたインフラストラクチャ、ツール、ワークフローを使用して、あらゆるユースケース向けにデータを準備し、機械学習 (ML) モデルを構築、トレーニング、デプロイするための完全に管理されたサービスです。
" Amazon SageMaker はどのリージョンで利用できますか?",サポートされている Amazon SageMaker AWS リージョンの一覧については、AWS リージョンサービスのページをご覧ください。また、詳細については、AWS 全般リファレンスガイドの「リージョンエンドポイント」を参照してください。
" Amazon SageMaker のサービス可用性はどのくらいですか?",Amazon SageMaker は高可用性を実現するように設計されています。メンテナンス期間や計画的なダウンタイムはありません。SageMaker API は Amazon の実績のある高可用性データセンターで実行され、各 AWS リージョンの 3 つの施設にサービススタックのレプリケーションが設定されているため、サーバー障害やアベイラビリティーゾーンの停止が発生した場合でもフォールトトレランスが実現します。
Amazon SageMaker はどのようにしてコードを保護しますか?,Amazon SageMaker は、セキュリティグループによって保護され、保存時にオプションで暗号化された ML ストレージボリュームにコードを保存します。
Amazon SageMaker にはどのようなセキュリティ対策がありますか?,Amazon SageMaker は、ML モデル成果物とその他のシステム成果物が転送中および保存時に暗号化されることを保証します。SageMaker API とコンソールへのリクエストは、安全な (SSL) 接続を介して行われます。AWS Identity and Access Management ロールを SageMaker に渡すことで、トレーニングとデプロイのためにユーザーに代わってリソースにアクセスする権限を付与できます。モデル成果物とデータには暗号化された Amazon Simple Storage Service (Amazon S3) バケットを使用し、SageMaker ノートブック、トレーニングジョブ、エンドポイントに AWS Key Management Service (KMS) キーを渡して、接続された ML ストレージボリュームを暗号化できます。Amazon SageMaker は、Amazon Virtual Private Cloud (VPC) と AWS PrivateLink もサポートしています。
Amazon SageMaker はモデル、トレーニングデータ、アルゴリズムを使用または共有しますか?,Amazon SageMaker は、顧客モデル、トレーニングデータ、またはアルゴリズムを使用または共有しません。当社は、お客様がプライバシーとデータセキュリティを非常に重視していることを理解しています。そのため、AWS では、コンテンツの保存場所を決定し、転送中および保存中のコンテンツを保護し、ユーザーによる AWS のサービスとリソースへのアクセスを管理できるシンプルで強力なツールを通じて、コンテンツの所有権と制御権をお客様に提供しています。また、当社は、お客様のコンテンツへの不正アクセスや漏洩を防ぐように設計された、責任ある高度な技術的および物理的な制御も実装しています。お客様は、お客様のコンテンツの所有権を保持し、お客様のコンテンツを処理、保存、およびホストできる AWS のサービスを選択します。当社は、お客様の同意なしに、いかなる目的でもお客様のコンテンツにアクセスしません。
" Amazon SageMaker の料金はどのように請求されますか?",ノートブックのホスティング、モデルのトレーニング、予測の実行、および出力のログ記録に使用する ML コンピューティング、ストレージ、およびデータ処理リソースに対して料金をお支払いいただきます。Amazon SageMaker では、ホストされたノートブック、トレーニング、およびモデルのホスティングに使用するインスタンスの数とタイプを選択できます。使用した分だけ、使用した分だけお支払いいただきます。最低料金や前払いの義務はありません。詳細については、Amazon SageMaker の料金ページと Amazon SageMaker 料金計算ツールをご覧ください。
不要な料金を回避するために、アイドル状態のリソースを検出して停止するなど、Amazon SageMaker のコストを最適化するにはどうすればよいでしょうか?,Amazon SageMaker のリソース使用率を最適化するために採用できるベストプラクティスはいくつかあります。一部のアプローチでは設定の最適化が使用され、その他のアプローチではプログラムによるソリューションが使用されます。この概念に関する完全なガイドは、ビジュアルチュートリアルとコードサンプルを完備しており、このブログ投稿でご覧いただけます。
独自のノートブック、トレーニング、またはホスティング環境がある場合はどうなりますか?,Amazon SageMaker は完全なエンドツーエンドのワークフローを提供しますが、既存のツールを SageMaker で引き続き使用することもできます。ビジネス要件に応じて、各ステージの結果を SageMaker に簡単に転送できます。
Amazon SageMaker では R はサポートされていますか?,"はい、R は Amazon SageMaker でサポートされています。R は、プリインストールされた R カーネルと reticulate ライブラリを含む SageMaker ノートブックインスタンス内で使用できます。Reticulate は、Amazon SageMaker Python SDK 用の R インターフェイスを提供し、ML 実践者が R モデルを構築、トレーニング、調整、およびデプロイできるようにします。"
